LHD,Hospital name,Age ,Gender,"Overall, how would you rate the care you received while in hospital?",What was the best part of the care you received while in this hospital?,What most needs improving about the care you received from the hospital?
CVBHMI, Carrot Hospital,50+,Woman or female,Good,"FRIENDLINESS OF THE NURSING & PHYSIO STAFF GENERALLY-THEY WERE VERY BUSY & MAYBE UNDERSTAFFED BUT ON THE WHOLE, REALLY LOVELY & KIND","SOME RELIANCE ON THE PATIENT, RATHER THAN CHECKING, FOR SIDE EFFECTS OR SIDE PHYSICAL PROBLEMS. AGAIN, THEY WERE VERY BUSY, SOME PATIENTS IN THE WARD WERE VERY DEMANDING"
QESRRT, Cucumber Hospital,50+,Man or male,Good,,FOOD
KHZJDF, Endive Hospital,18-49,Man or male,Very good,THE NURSES & DOCTORS WHERE VERY GOOD AT THEIR JOB & I WAS VERY HAPPY WITH THE OUTCOME,MY STAY WAS VERY GOOD & MY CONDITION WAS RECTIFIED ASAP
RTUITO, Fiddleheads Hospital,50+,Man or male,Very good,DOCTORS & STAFF WERE EXCELLENT,MOBILE PHONE RECEPTION IS NON EXISTENT AND NEEDS TO BE ADDRESSED AS A PRIORITY
OIUWEY, Longan Hospital,50+,Man or male,Good,CARE & TREATMENT RESPECT ETC,NIL
KHZJDF, Pomegranate Hospital,50+,Man or male,Good,THE VARIOUS HELP AIDS FOR LIFTING ETC,
VASRTY, Cantaloupe Hospital,18-49,Woman or female,Very good,BRILLIANT STAFF,FOOD & MORE CHOICE. MORE FRESH FRUIT
RTUITO, Peach Hospital,50+,Woman or female,Very good,"THE ATTENTION, CARE AND FRIENDLINESS OF ALL STAFF",
MZNBSD, Papaya Hospital,50+,Man or male,Very good,MY DOCTOR & NURSE CARE,(NO COMMENT). BECAUSE THE HOSPITAL IS GOING TO BE RELOCATED TOXXXX HOS
ARTBQW, Zucchini Hospital,50+,Woman or female,Very good,ALL OF IT. EVERYONE WAS CARING HELPFUL AND KEPT ME INFORMED,
QTYEWR, Rutabaga Hospital,50+,Man or male,Very good,JUST BEING TREATED LIKE A PERSON THEY WERE NICE AND POLITE,NOTHING
KHZJDF, Date Hospital,50+,Man or male,Very good,THE NURSES WERE WONDERFUL & CARING AT ALL TIMES,THE SHOWER & TOILET BLOCK WAS A BIT FAR TO WALK TO ESPECIALLY AT NIGHT WHEN NEEDED TO USE THE TOILET
QTYEWR, Rutabaga Hospital,50+,Woman or female,Very good,"FOOD-IT WAS DELICIOUS HA, HA. CARE & ATTENTION WAS EXCELLENT","I COULDN'T FAULT ANY CARE GIVEN TO ME, AS WHATEVER I NEEDED WAS THERE, NURSES, DRS, CLEANERS, COOKS ALL DO 'THE BEST' TO THEIR ABILITY. XXXX XXXX XXXX"
RTUITO, Fiddleheads Hospital,50+,Woman or female,Very good,"I HAD THE SAME BED FOR XXXXNIGHTS IN A ROW. IN XXXX HOSPITAL BEFORE BEING TRANSFERRED, I WAS MOVED TO XXXX WARDS IN XXXX DAYS. I WAS XXXX AND IN A LOT OF PAIN AND ALSO HAD A BROKEN LEG...",
RTUITO, Taro Hospital,18-49,Man or male,Very good,THE KINDNESS AND CARE GIVEN TO ME FROM THE NURSES AT PORT & XXXX WAS EXCELLENT,NOTHING NEEDS IMPROVING WE CAN ONLY DO WHAT WE CAN DO WITH WHAT IS AVAILABLE
OPIUSD, Watermelon Hospital,50+,Woman or female,Good,"THE HOSPITAL STAFF WERE UNDER A LOT OF PRESSURE DUE TO COVID AND I FELT, GIVEN THE CIRCUMSTANCES, WELL LOOKED AFTER. ONCE MY NEGATIVE COVID RESULTS CAME THROUGH, AND I WAS TRANSFERRED BACK TO A XXXX', THE FIRST NURSE WHO CAME TO ME WAS COMPASSIONATE AND CARING. IT WAS VERY MUCH APPRECIATED AFTER HAVING BEEN IN A 'RED' ISOLATION ROOM","THIS DISCHARGE WAS HURRIED. THEY SAID THEY NEEDED THE BED. I WAS PLACED IN A ROOM, SITTING UP IN A CHAIR, STILL FEELING UNWELL UNTIL FAMILY COULD COME. ONCE I KNEW THEY WERE ON THE WAY I WAS LEFT TO MAKE MY OWN WAY OUT OF THE HOSPITAL, CARRYING EVERYTHING. IT WAS ONLY WHEN A NURSE SAW ME STRUGGLING THAT THERE WAS AN OFFER TO HELP. I WAS UPSET BY THE WAY THIS WAS HANDLED"
MZNBSD, Squash Hospital,18-49,Woman or female,Very good,THE NURSES. THEY KNEW WHO I WAS AND WHAT I NEEDED AT EACH TIME. LOOKED AFTER ANY CONCERNS I HAD.,"MORE TIME WITH THE DOCTOR ON POST SURERGY AS YOU'RE COMING OUT OF ANESTHETIC AND YOU'RE NOT REMEMBERING WHAT THEY SAY RATHER COMING TO. EVEN IF IT IS NEXT DAY CHECK UP, IT'S WORTH KNOWING THE DOCTOR TAKES TIME TO CHECK IN PERSONALLY"
OPIUSD, Watermelon Hospital,18-49,Woman or female,Good,NO COMMENTS,NO COMMENTS
KHZJDF, Lychee Hospital,50+,Woman or female,Very good,THE CARE WAS EXCELLENT BUT THE BEST PART WAS MY DISCHARGE & GETTING HOME,I CAN'T FAULT THE CARE DURING MY ADMISSION ALTHOUGH MANY LOCALS REGARD THE HOSPITAL AS IN POOR CONDITION WITH POOR QUALITY CARE
QTYEWR, Bell pepper Hospital,18-49,Man or male,Very good,"CARE OVER NIGHT, WHILST IN PAIN AND TRYING TO GET REST.",
CVBHMI, Bean sprouts Hospital,50+,Woman or female,Very good,STAFF WERE VERY CARING & TREATED ME WITH DIGNITY CONSIDERING MY AGE & ILLNESS. (GASTRO). STRICT HYGIENE WAS OBSERVED AT ALL TIME,
CVBHMI, Bean sprouts Hospital,50+,Man or male,Very good,THE STAFF TREATED ME LIKE FAMILY,INCREASED STAFF NUMBERS
QESRRT, Water chestnut Hospital,18-49,Woman or female,Very good,THE KINDNESS OF CARE FROM THE MIDWIVES,"MORE RESPECT FROM DOCTORS-SPECIFICALLY, LEARNING TO ASK CONSENT BEFORE EXAMINATION"
MZNBSD, Grapefruit Hospital,50+,Man or male,Neither good nor poor,"DOCTORS MANAGED TO KEEP ME ALIVE AFTER I WAS TWICE GIVEN AN OVERDOSE OF ONE MY MEDICATIONS XXXX 15MG, I WAS GIVEN 150 MG AND XXXX WHICH IS NOT A MEDICATION I TAKE. I WAS NON RESPONSIVE AND TAKE TO ICU WHERE I WAS PUT ON DIALYSIS TWICE TO FLUSH THE DRUGS OUT OF MY SYSTEM.",STAFF ARE OVERWORKED. NEED TO BE MORE CAREFUL AND CHECK MEDICATION ARE ACTUALLY PRESCRIBED BEFORE ADMINISTERING THEM. MY DOCTOR DIDN'T THINK I COULD BE RECEIVED. THATS DISGUSTING! HOW MANY PEOPLE HAVE DIED FROM THIS NEGLIGENCE
OIUWEY, Avocado Hospital,50+,Woman or female,Very good,KNOWING THAT I WAS SAFE & BEING LOOKED AFTER,THE FOOD
KHZJDF, Kumquat Hospital,50+,Man or male,Very good,EVERYONE WAS EXCELLENT & CARING,NIL
OPIUSD, Blueberries Hospital,50+,Woman or female,Very good,,0
QERYUI, Daikon Hospital,50+,Woman or female,Very good,ALL WENT VERY WELL,
LAUJSH, Grapes Hospital,50+,Man or male,Very good,QUALITY CARE,NOTHING COMES TO MIND
QERYUI, Tangerine Hospital,50+,Woman or female,Very good,"I WENT TO HOSPITAL ON THE XXXX, SPENT XXXX HRS. NO TESTS & WAS SENT HOME READMITTED XXXX DAYS LATER. ALL THE STAFF TREATING ME AS A PERSON & ONE NURSE WHO APPEARED QUITE CALLOUS WHILE DOING CBS & FAKING BLOOD.","AS I HAVE SAID, THE VAST MAJORITY OF THE STAFF WERE KNOWLEDGEABLE & CARING TREATED ME AS A PERSON, NOT AN ILLNESS. THOSE THAT DIDN'T, OBVIOUSLY HAVE THE SKILLS REQUIED FOR THEIR PROFESSION, BUT SERIOUSLY LACK EMPATHY"
OPIUSD, Cranberries Hospital,50+,Woman or female,Good,N/A,COMMUNICATION BETWEEN NURSES AND PATIENTS
QESRRT, Lotus root Hospital,50+,Woman or female,Very good,I CANT PICK ONE PART OUT OF IT BECAUSE IT WAS ALL TOP QUALITY. I CAN'T PRAISE THE HOSPITAL & STAFF ENOUGH. I'VE NEVER HAD A BAD EXPERIENCED AT THE HOSPITAL EVER,NOTHING. I WAS LOOKED AFTER BEAUTIFULLY
ARTBQW, Jackfruit Hospital,50+,Man or male,Very good,THE CARE OF MOST OF THE NURSES,THAT ALL THE NURSES RELEASE THAT THEY ARE THERE TO CARE FOR PATIENTS NOT TO MAKE SOME THINGS EG PERSONAL CARE EMBARRASSING
QTYEWR, Quince Hospital,18-49,Woman or female,Poor,"I HAD AN EXCELLENT BIRTH EXPERIENCE, UP UNTIL RIGHT AFTER OUR SON/DAUGHTER WAS BORN. THE MIDWIVES WERE VERY FRIENDLY, FOR WHAT I SAW OF THEM.","MORE STAFF. I WAS LEFT FOR XXXX HOURS SITTING IN BLOOD AFTER THE BIRTH OF MY SON/DAUGHTER BECAUSE THE MIDWIFE HAD TO GO TO ANOTHER DELIVERY. WE SAT IN THE BIRTHING SUITE FOR XXXX HOURS WITHOUT ANY ASSISTANCE OR ADVICE, WITH OUR SON/DAUGHTER LEFT UNDER THE HEAT LAMPS. MY HUSBAND/WIFE ENDED UP PUTTING CLOTHES ON HIM/HER BECAUSE THE MIDWIFE WAS GONE FOR SO LONG. NO PATIENT, LET ALONE A NEW MOTHER, SHOULD BE LEFT TO EXPERIENCE THAT. THE AFTERCARE WAS ALSO NON EXISTENT, AS I FELT NEGLECTED BECAUSE I HAD A COMPLICATION-FREE BIRTH. I WAS PUT IN A ROOM FURTHEREST FROM THE NURSE'S STATION AND WASN'T SHOWN HOW TO DO BASIC THINGS LIKE BREASTFEEDING, CHANGING A NAPPY, BATHING OR EVEN SWADDLING. I ALSO WASN'T GIVEN A NAPPY AND FEEDING CHART UNTIL LATE IN MY SECOND DAY AT THE HOSPITAL. AS A FIRST TIME MOTHER, I HAD NO IDEA WHAT TO EXPECT. THEY ALSO TEMPORARILY LOST MYXXXX WHICH INCLUDED A PERMISSION SLIP TO VACCINATE OUR SON/DAUGHTER."
ARTBQW, Jackfruit Hospital,50+,Man or male,Good,WAITING TO GO HOME,THE FOOD
ASRTGE, Pineapple Hospital,50+,Man or male,Very good,THE NURSING STAFF WERE SUPPORTING HELPFUL & CARING,ON ONE DAY ONLY. A XXXX (XXXX YRS) WAS UNDERGOING WORK EXPERIENCE & HE/SHE WAS INSTRUCTED TO ACCOMPANY ME TO SHOWER & ASSIST IF REQUIRED. I DID NOT REQUIRE ASSISTANCE & THIS YOUNG GUY/GIRL WAS FAR TOO YOUNG TO ASSIST AN ADULT MALE/FEMALE WITH HIS/HER ABLUTION
KHZJDF, Yam Hospital,50+,Woman or female,Very good,PAIN RELIEF AND SUPPORT WHILE RECOVERING FROM FRACTURED VERTEBRAE.,NOTHING TO SUGGEST. MY CARE WAS VERY GOOD.
ARTBQW, Raspberries Hospital,50+,Man or male,Very poor,"THE DRS WERE EXCELLENT, POLITE & LUCID. ALL COMMENTS REGARDING HEALTH PROFESSIONALS FROM Q9 ARE RELATED TO THE NURSES",THE ATTITUDE OF THE NURSES
QWRET, Olive Hospital,50+,Woman or female,Very good,HAVING MY INJURY ATTENDED TO AND ONGOING CARE,WAITING TIME IN EMERGENCY
RTUITO, Peach Hospital,50+,Woman or female,Very good,OPERATION TO REPAIR BROKEN WRIST WHICH HAD BEEN INITIALLY IGNORED EARLIER IN THE YEAR AT FRACTURE CLINIC,ATTITUDE THAT MINIMAL SURGICAL INTERVENTION WAS OR DUE TO MY AGE
BNAVSE, Lemon Hospital,50+,Woman or female,Very good,HAVING THE CHANCE RE MOVE AND BEING WELL CARED FOR WHAT MORE CAN ONE WONT THANK YOU AND ALL YOUR STAFF VERY MUCH IT WAS VERY HARD WORK FOR THEM AND FOR ME THANK YOU,
QESRRT, Jicama Hospital,50+,Woman or female,Very good,WHEN I WENT TO HOSPTIAL LATE AT NIGHT & RESERVED VERY GOOD ATTENTION BY THE DOCTORS. XXXX XXXX. XXXX XXXX XXXX XXXX XXXX PHONE NO XXXX,NONE
MZNBSD, Papaya Hospital,50+,Woman or female,Very good,THE MEALS AND TO PLEASANT MANNER OF THE STAFF DELIVERING THEM ETC,ACCESS TO A PRIVATE ROOM WOULD HAVE BEEN NICE INSTEAD & BED ***
MZNBSD, Blackberries Hospital,50+,Man or male,Very good,CONSTANT ATTENTION AND CARE,CARE OF STAFF
QERYUI, Durian Hospital,50+,Man or male,Very good,"THE COMPASSION AND PROFESSIONALISM OF THE STAFF, PARTICULARLY THE NURSES.",
LAUJSH, Grapes Hospital,50+,Man or male,Neither good nor poor,THE NURSES CARE,THE DOCTOR TOLD ME THE DAY I WAS BEING DISCHARGED. I WAITED ALL DAY TILLXXXXPM NEVER CAME SO FINALLY I HAD TO LEAVE AS I HAD MY DOG SITTER LEAVE. NO FOLLOW UP CALL NOTHING!
QESRRT, Lotus root Hospital,50+,Man or male,Very good,SURGICAL INTERVENTION AND THE RECOVERY PROCESS WAS EXCELLENT,NONE
OIUWEY, Avocado Hospital,50+,Woman or female,Good,THE KINDNESS OF THE DOMESTIC STAFF WAS GREAT THEY REALLY HELPED WITH CHOOSING THE FOOD AS I WAS ON A SPECIAL DIET,THE NEED OF MORE NURSES. FOR AN ELDERLY PERSON THE WAITING TIME FROM WHEN ONE RINGS FOR A BED PAN & THE TIME IT IS ANSWERED IS FAR TOO LONG OFTEN RESULTING IN A MESSY END WHICH THEN TAKES UP MORE OF THE NURSES TIME.
OPIUSD, Cranberries Hospital,50+,Man or male,Very good,PROFESSIONAL SERVICE DELIVERY AT ALL TIMES BY THE STAFF WHO LOOKED AFTER ME,THE SHARED WARD I WAS PUT IN HAD A MENTAL HEALTH PATIENT NEXT TO ME THAT WAS DISRUPTIVE AND CAUSED MAJOR DRAMAS ALL NIGHT - THE OTHER 2 PATIENTS WERE ELDERLY AND FRIGHTENED TO SPEAK UP.
CVBHMI, Turnip Hospital,50+,Man or male,Very good,PAIN RELIEF,
KHZJDF, Chicory Hospital,50+,Man or male,Very good,ALL STAFF SEEMED TO CARE AND WANTED THE BEST OUTCOMES FOR MYSELF,THE CARE WAS GREAT  THANKS
KHZJDF, Lychee Hospital,50+,Woman or female,Very good,ALL CARE WAS GOOD,
ASRTGE, Pineapple Hospital,50+,Woman or female,Very good,"BECAUSE OF 'COVID19' THE HOSPITAL WAS IN 'LOCKDOWN' ALL STAFF WERE VERY BUSY, BUT STILL FRIENDLY AND PROFESSIONAL, WHILE CARING FOR US. THEY WERE REALLY WONDERFUL. IT WOULD HAVE BEEN NICER, IF WE COULD HAVE HAD VISITORS, WHICH WERE NOT ALLOWED (UNDERSTANDABLY SO) I WAS CERTAINLY GLAD TO GET HOME AGAIN",
QESRRT, Jicama Hospital,50+,Man or male,Very good,NURSES ALWAYS ON CALL. COMFORTABLE BED. ABLE TO WALK AROUND THE WARDS,NIL
KHZJDF, Parsnip Hospital,50+,Man or male,Very good,"THAT I WAS AWAKE THROUGHOUT THE HIP OPERATION WAS VERY EXCITING, ESPECIALLY THE RUNNING COMMENTARY BY THE LOVELY ANESTHETIST.  ALSO THE OVERALL GREAT EXPERIENCE AT XXXX HOSPITAL.",I CANNOT SEE ANY AREA WHICH MAY NEED IMPROVING.
QWRET, Apricot Hospital,50+,Woman or female,Very good,I WAS TREATED WITH CARE AND COMPASSION,THERE'S NOTHING TO IMPROVE IN MY OPINION
LAUJSH, Grapes Hospital,50+,Man or male,Very good,ALL THE STAFF WERE VERY GOOD AND CARING WITH A COUPLE GOING WELL 'ABOVE AND BEYOND',
KHZJDF, Kiwi Hospital,50+,Woman or female,Neither good nor poor,NEEDED TO GET HELP. WITH THE PROBLEM. I WAS HAVING,THE ABILITY FOR NURSES TO ANSWER YOUR CALL MORE QUICKLY. (REALISE SHORTAGE OF NURSES COULD BE THE PROBLEM)
OIUWEY, Longan Hospital,18-49,Man or male,Very good,THE NURSES WERE OUTSTANDING AND THE FOOD WAS FANTASTIC.,"I WAS A PATIENT TRANSFER FROM XXXX HOSPITAL. THE TRANSFER WAS POORLY HANDLED, AND THE NURSES WERE CLEARLY NOT EXPECTING ME. I WAS LEFT SITTING IN A HALLWAY WHILST THEY TRIED TO FIND OUT WHERE TO PUT ME. THEY WERE OBVIOUSLY TRYING THEIR BEST, BUT THIS PROCESS NEEDS IMPROVEMENT."
RTUITO, Taro Hospital,50+,Man or male,Very good,INFORMATION,FOOD
KHZJDF, Sweet corn Hospital,50+,Man or male,Neither good nor poor,"THE ON-CALL DOCTOR DIDN'T KNOW WHAT MY MEDICAL CONDITION WAS CAUSED BY (ON ADMISSION); I WAS A PATIENT IN XXXX HOSPITAL FOR A XXXX DAYS BEFORE I WAS TRANSFERRED TO THE XXXX HOSPITAL. (WHEN IT WAS SUSPECTED I HAD A MORE SERIOUS CONDITION) EPIDURAL ABCESS). CONSEQUENTLY, DUE TO HEAVY SEDATION (PAIN KILLERS) I REMEMBER VERY LITTLE ABOUT THEY STAY AT XXXX HOSPITAL.",
OIUWEY, Avocado Hospital,50+,Man or male,Very good,KINDNESS & HELP,MORE STAFF
LAUJSH, Grapes Hospital,18-49,Woman or female,Very good,"THE EMERGENCY DEPARTMENT NURSE LOOKED AFTER ME WITH SUCH COMPASSION, IT WAS WONDERFUL. THANK YOU",NOTHING TO DO WITH THE HOSPITAL OR DEPARTMENT ITSELF
QWRET, Orange Hospital,50+,Man or male,Good,NURSES THEY DONE GOOD JOB,FOOD AND ACKNOWLEDGE THE EMERGENCY BUZZER QUICKER WHEN YOU NEED HELP
QERYUI, Durian Hospital,50+,Woman or female,Very good,GOING HOME TO MY BED,MAKE SURE WE GET FED
ARTBQW, Jackfruit Hospital,50+,Man or male,Very good,TREATMENT,
QERYUI, Tangerine Hospital,50+,Man or male,Poor,THOSE *** A BEST PART OF CARE AT ALL IN THIS HOSPITAL. I HAD TO GO BACK TO HOSPITAL THE NEXT DAY AND WAS TOLD I WOULDN'T SEE A DOCTOR THAT NIGHT BECAUSE THESE *** XXXX PEOPLE INFRONT OF ME AND NO BEDS,NOT TO HAVE TO WAIT XXXX HOURS TO SEE A DOCTOR WHEN YOU ARE IN ***. WHEN YOU ASK A NURSE TO HELP YOU HE/SHE SAID I'M BUSY
RTUITO, Taro Hospital,50+,Man or male,Very good,"THE QUICK HIGH LEVEL RESPONSE WHEN MY BLOOD PRESSURE AND PULSE DROPPED WHEN I WENT TO GET OUT OF BED-TRANSFERRED TO XXXX WHERE I WAS CONSTANTLY MONITORED. AFTER BEING THERE SOME TIME-PULSE & BP STILL LOW-I DECIDED I WOULD FLEX MY FEET IN AND OUT SIDEWAYS TO TRY CREATE SOME EXERCISE. AFTER DOING THIS INTERMITTENTLY FOR MAY (MEMORY A BIT VAGUE) XXXX HOURS, BP AND PULSE WOULD GO UP AND DOWN BUT EVENTUALLY MANTAINED A HIGHER LEVEL - MIGHT BE WORTH TESTING IN ICU IN A CLINICALLY CONTROLLED TEST",
RTUITO, Taro Hospital,50+,Man or male,Good,"1. ALLOWING MY HUSBAND/WIFE, WHO WAS A PATIENT IN  ANOTHER WARD, TO VISIT ME. 2.COMPLETENESS OF RADIOLOGICAL EXAMINATIONS.",ENSURING PROVISION OF FOOD DURING EXTENDED STAY (ALMOST XXXX DAYS) IN EMERGENCY.
RTUITO, Fiddleheads Hospital,50+,Man or male,Good,"GOOD ATTENTION: ALWAYS ON TIME FOR A MEAL-BREAKFAST, MORNING TEA, LUNCH TIME, AFTERNOON TEA, DINNER/SUPPER TIME & AFTER TEA. GOOD IN REMINDING PATIENT TO EARLY GROOMING IE TAKE A SHOWER ***/NURSES COME ALONG TO CHECK PATIENT GIVE MEDICATION ON TIME",NURSES CAME ALONG TO CHECK PATIENT WITH XXXX *** NO PATIENCE AND EMPATHY. THINK THEY ARE ALONE IN CONTROL OF A SICK PATIENT. NOT TAKING NOTICE OF THE PATIENTS PAIN. TAKE TIME TO ATTEND A PATIENTS CALL.
MZNBSD, Starfruit Hospital,18-49,Woman or female,Good,"THE ADMISSION STAFF WERE GREAT. ONE WAS IN TRAINING TO FILL IN FOR THE OTHERS UPCOMING ABSENCE. THEY WERE BOTH REALLY FRIENDLY, ORGANISED AND METHODICAL. THE NURSE WHO DID MY DISCHARGE WAS THE MOST EFFICIENT STAFF MEMBER I ENCOUNTERED. HIM/HER EXPERIENCE WAS VERY OBVIOUS AND HE/SHE HAD A REAL PRESENCE.",MY OBS WERE DUE AT XXXXPM DIDN'T SEE ANYONE UNTIL XXXXPM. IF I FELT UNWELL (MORE THAN EXPECTED) I WOULD HAVE FOLLOWED UP WITH GREATER URGENCY. MAYBE THEY WERE JUST REALLY BUSY.  THE DAY SHIFT STAFF WERE MORE EFFICIENT THAN NIGHT SHIFT STAFF IN MY OPINION.
ARTBQW, Currant Hospital,18-49,Woman or female,Very good,"EVERY MIDWIIFE, NURSE, DOCTOR AND SURGEON I DEALT WITH WAS FRIENDLY AND PROFESSIONAL, THE LEVEL OF CARE I RECEIVED WAS AMAZING AND I COULDNT FAULT THEM","I OVERHEARD STAFF TALKING ABOUT A LACK OF INSTRUMENTS,I FEEL THE STAFF NEED MORE EQUIPMENT AND SOME OF THE MACHINES USED NEED TO BE UPGRADED. THE HOSPITAL WAS ALSO UNDER STAFFED AT TIMES AND EVEN THOUGH THE STAFF WERE FRIENDLY, I COULD TELL THEY WERE TIRED AND STESSED OUT. THERE NEEDS TO BE MORE JOBS MADE AVALIABKE, PAY INCREASE AND MORE SUPPORT FOR THE TEAM."
CVBHMI, Dragonfruit Hospital,50+,Woman or female,Good,CARE WAS EFFICIENT AND MADE ME FEEL SAFE,FOOD ESP BREAKFAST
QTYEWR, Radicchio Hospital,50+,Man or male,Good,KNOWING I WAS ON A POSITIVE ROAD TO RECOVERY,AN OUTDOOR TYPE AREA TO RELAX IN OUT OF THE TYPICAL HOSPITAL ROOM ENVIRONMENT
KHZJDF, Currant Hospital,50+,Woman or female,Very good,ALL STAFF & PROFESSIONALS WERE VERY CARING,NOTHING REALLY!! LITTLE DIFFERENCE RE IF I SHOULD STAY IN ICU BY PROFESSIONALS!
OPIUSD, Eggplant Hospital,50+,Woman or female,Very good,"THE HOSPITAL STAFF, NURSES, PORTERS TEA GENTLEMEN/LADIES WERE GREAT","NOT SO MUCH THE CARE I RECEIVED BUT THE FOOD. IN PARTICULAR I COULDN'T EAT THE DINNER MEAL, LOOKED, SMELT AND TASTED AWFUL (SORRY)"
OIUWEY, Chilli pepper Hospital,50+,Woman or female,Very good,FELT CONFIDENT THAT I WAS IN GOOD HANDS,FOR ME THE CARE I RECEIVED WAS EXCELLENT & PUT ME AT REST
KHZJDF, Chicory Hospital,50+,Woman or female,Good,THE BEST CARE I RECEIVED WAS IN THE EMERGENCY DEPARTMENT. STAFF WERE EFFICIENT AND CARING,UNBELIEVEABLY BAD!!! I WAS TOLD BY THE ATTENDING SPECIALIST TO NOT BOTHER COMING TO THE EMERGENCY DEPARTMENT IF I EXPERIENCED SIMILAR CHEST PAIN. THERE WAS NO MENTION OF THE FINDING OF A SUSPICIOUS 'GROWTH' ON MY ROUTINE CHEST XRAY. I WAS APPALLED AT THE LACK OF INTEREST AND ADVICE GIVEN BY THE HEART SPECIALIST??
QESRRT, Cucumber Hospital,50+,Man or male,Very good,"OUTSTANDING CARE AND ATTENTION AT ALL TIMES DURING SHORT PERIOD IN CASUALTY WARD UNTIL TRANSFER TO CARDIAC WARD SINGLE ROOM, WHERE CARE WAS ALSO TOP CLASS","IT WOULD BE USEFUL IF A SENIOR DOCTOR OR CARDIAC SPECIALIST HAD EXPLAINED THE NATURE OF MY HEART COMPLAINT PRIOR TO THE INSERTION OF THE PACEMAKER INSTEAD OF HAVING TO RELY ON WHAT INFORMATION THE SENIOR NURSE COULD FIND OUT AND PASS ON TO ME, WHILE IN CASUALTY WARD"
OIUWEY, Tomato Hospital,50+,Man or male,Good,NOT HAVING THE F PAIN,SOME NURSING STAFF TO HAVE MORE MANNERS
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,"GETTING BETTER AND GOING HOME, GENUINE CARE FROM ALL STAFF",WAS NOT KEEN ON HAVING A MIXED WARD IE-FEMALE & MALES/FEMALES TOGETHER
QWRET, Apple Hospital,50+,Man or male,Very good,"KNOWING I WAS IN SAFE HANDS, HELPED A LOT, AND I KNOW THE STAFF WERE TRYING THE BEST THEY COULD. THESE PEOPLE ARE DEDICATED PEOPLE. PLEASE LOOK AFTER THEM","I ARRIVED LATE AT NIGHT & IT WAS RAINING, NO COVER AND I GOT WET GETTING FROM THE AMBO TO HOSP. ENTRANCE. THE GYM IS VERY GOOD-NEEDS A TUNE UP. NOT TRAINING PEOPLE TO WALK BACKWARDS. THATS WHEN THEY FALL, WHEN GOING BACKWARDS, BEND THE KNEE & GO TOE-HEEL TRY IT YOURSELF!!. ***"
QESRRT, Water chestnut Hospital,50+,Man or male,Very good,EVERYBODY FROM ADMISSION TO EMERGENCY DEPARTMENT TO WARD NURSES & ORDERLEYS HELPED ME WITH EVEREYTHING EVEN CHARGING MY PHONE. IT WAS DURING COVID RESTRICTIONS AND DOCTORS KEPT MY HUSBAND/WIFE INFORMED OVER PHONE.,ALL WAS WELL RECEIVED
QERYUI, Daikon Hospital,50+,Man or male,Very good,REHAB,
KHZJDF, Endive Hospital,50+,Man or male,Very good,FINDING OUT FINALLY WHAT WAS WRONG WITH ME. IT WAS THE SECOND TIME I HAD HAD THIS REACTION AND THEREFORE IT WAS MORE SEVERE BUT IT WAS DIAGNOSED AND TREATED AS A RARE TOXIC REACTION TO A COMMON ANTIBIOTIC. HOSPITAL STAFF WERE ALL WONDERFUL BUT UNFORTUNATELY I WAS SEMI CONSCIOUS FOR THE FIRST WEEK IN HOSPITAL SO I CANNOT ANSWER ALL THE QUESTIONS,POSSIBLY DUE TO THE TIME THIS EVENT HAPPENED THE STAFF SEEMED WAY OVERWORKED AND EXHAUSTED. THERE WERE ALSO A BROAD MIX OF PATIENTS WITH DIFFERENT CONDITIONS ALL IN ADJOINING WARDS WHICH MADE THINGS A BIT CHAOTIC WHEN ALZHEIMER'S PATIENTS WOULD WANDER IN AT ANY TIME WANTING TO TALK TO OTHER PATIENTS. NURSES WOULD TRY TO STEER THEM ELSEWHERE BUT WERE A BIT OUTNUMBERED OR HAD OTHER DUTIES TO ATTEND TO. MAYBE MORE STAFF NEEDED?
QERYUI, Tangerine Hospital,50+,Man or male,Very good,,VERY LITTLE
KHZJDF, Currant Hospital,50+,Man or male,Very good,HEALTH PROFESSIONALS 10/10. NURSING STAFF 10/10,
QTYEWR, Honeydew Melon Hospital,50+,Woman or female,Very good,EXPERIENCING THE FACILITIES AND EXTRA EQUIPMENT AVAILABLE IN A BRAND NEW HOSPITAL ALL OF WHICH I AM SURE CONTRIBUTED TO THE VERY GOOD CARE I RECEIVED FROM A HAPPY STAFF,
QESRRT, Water chestnut Hospital,50+,Woman or female,Very good,THE CARE I RECEIVED WAS VERY GOOD STAFF VERY HELPFUL,
MZNBSD, Gooseberry Hospital,50+,Woman or female,Very good,THE SWIFT DIAGNOSIS!! THE CONSTANT ATTENTION & TREATMENT I RECEIVED FOR THE JUST XXXX DAYS. THE BED WAS CAN BELIEVABLE UNCOMFORTABLE & DIFFICULT TO SET UP IN WITH ONE ARM TO USE (THE OTHER WITH A DRIP IN) HAVE NOT BEEN IN HOSPITAL SINCE XXXX IT WAS AN EXPERIENCE & OK,ALL GOOD-BUT THE BED!
ARTBQW, Raspberries Hospital,50+,Man or male,Neither good nor poor,I FELT COMFORTABLE AND THE STAFF TRIED TO BE HELPFUL,"I FELT AS IF I WAS NOT OK TO BE DISCHARGED. I STILL FELT VERY DIZZY AND UNWELL, NOT WELL ENOUGH TO GET DISCHARGED"
